price,brand,ram,ram_type,display_size,display_type,pixels,screen_rate,screen_panel,length,width,height,cpu_brand,gpu_brand,hdd,ssd,OS,weight,cpu_point,gpu_point,fingerprint_reader,web_camera
669.0,ASUS,8.0,LPDDR4X,15.6,FHD,2073600.0,60.0,IPS,357.8,230.0,19.9,AMD,NVIDIA,0.0,512.0,WINDOWS,1.9,8919.0,2140.0,1.0,0.0
824.99,HP,32.0,DDR4,14.0,HD,1049088.0,60.0,TN,324.0,225.0,17.9,INTEL,INTEL,0.0,1000.0,WINDOWS,1.46,2015.0,425.0,1.0,0.0
4659.0,ASUS,32.0,DDR4,15.6,FHD,2073600.0,300.0,IPS,355.0,260.0,22.6,AMD,NVIDIA,0.0,4000.0,WINDOWS,2.3,13081.0,11441.0,1.0,0.0
1349.99,HP,32.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,358.9,229.1,18.54,AMD,AMD,0.0,2000.0,WINDOWS,1.7,10523.0,1129.0,0.0,1.0
1839.99,MSI,64.0,DDR4,15.6,FHD,2073600.0,144.0,IPS,359.0,259.0,23.9,INTEL,NVIDIA,0.0,512.0,WINDOWS,2.25,12390.0,8107.0,1.0,0.0
1631.99,MSI,16.0,DDR4,15.6,FHD,2073600.0,144.0,IPS,359.0,259.0,23.9,INTEL,NVIDIA,0.0,512.0,WINDOWS,2.25,12390.0,8107.0,1.0,0.0
729.0,HP,16.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,358.9,229.1,18.54,AMD,AMD,0.0,1000.0,WINDOWS,1.7,7983.0,914.0,0.0,1.0
1599.99,ACER,64.0,DDR4,17.3,FHD,2073600.0,144.0,IPS,403.5,260.0,24.9,INTEL,NVIDIA,0.0,2000.0,WINDOWS,2.7,12390.0,5970.0,1.0,0.0
1599.99,ACER,32.0,DDR4,16.0,WQXGA,4096000.0,165.0,IPS,358.14,261.62,19.81,INTEL,NVIDIA,0.0,2000.0,WINDOWS,2.44,12390.0,8290.0,1.0,0.0
1099.99,ACER,16.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,362.9,237.8,17.9,INTEL,INTEL,0.0,1000.0,WINDOWS,1.77,7885.0,1435.0,1.0,0.0
1105.99,HP,32.0,DDR4,15.6,HD,1049088.0,60.0,TN,358.5,242.0,17.9,AMD,AMD,0.0,2000.0,WINDOWS,1.74,8919.0,1129.0,0.0,1.0
729.0,LENOVO,24.0,DDR4,14.0,FHD,2073600.0,60.0,IPS,324.2,215.7,19.9,INTEL,INTEL,0.0,2000.0,WINDOWS,1.41,7916.0,1097.0,1.0,0.0
1599.0,HP,64.0,DDR4,17.3,FHD,2073600.0,60.0,IPS,398.27,259.08,19.55,INTEL,INTEL,0.0,4000.0,WINDOWS,2.49,9933.0,1435.0,1.0,0.0
1499.99,LG,16.0,LPDDR5,16.0,WQXGA,4096000.0,60.0,IPS,356.61,248.41,17.01,INTEL,INTEL,0.0,1000.0,WINDOWS,1.47,9933.0,1435.0,1.0,0.0
