Product Name,Product Link,Processor,Internal memory,Video card,Display,Solid-state drive,Price,Hard drive
Alienware m15 R4,https://laptopmedia.com/laptop-specs/alienware-m15-r4-103/,Intel Core i7-10870H,16GB RAM,"NVIDIA GeForce RTX 3070 (Laptop, 140W)","15.6”, Full HD (1920 x 1080), 300 Hz, IPS",512GB SSD,$204900,
HP Pavilion 15,https://laptopmedia.com/laptop-specs/hp-pavilion-15-6346/,Intel Core i7-1165G7,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,$87900,
Lenovo IdeaPad 1 15,https://laptopmedia.com/laptop-specs/lenovo-ideapad-1-15-372/,AMD Athlon Silver 3050U,20GB RAM,AMD Radeon RX Vega 3,"15.6”, HD (1366 x 768), TN",1000GB SSD,$39998,
Dell Inspiron 3511,https://laptopmedia.com/laptop-specs/dell-inspiron-3511-1722/,Intel Core i7-1165G7,12GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",256GB SSD,$88999,1000GB HDD
Dell Inspiron 3511,https://laptopmedia.com/laptop-specs/dell-inspiron-3511-1691/,Intel Core i5-1135G7,12GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",256GB SSD,$75999,1000GB HDD
ASUS ROG Zephyrus G14,https://laptopmedia.com/laptop-specs/asus-rog-zephyrus-g14-643/,AMD  Ryzen 9 6900HS,16GB RAM,AMD Radeon RX 6800S,"14.0”, WQXGA (2560 x 1600), 120 Hz, IPS",4000GB SSD,$201499,
Acer Aspire 5,https://laptopmedia.com/laptop-specs/acer-aspire-5-3158/,Intel Core i3-1115G4,8GB RAM,Intel UHD Graphics Xe G4 (48EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,$54999,
HP 15,https://laptopmedia.com/laptop-specs/hp-15-13937/,Intel Core i5-1155G7,12GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, HD (1366 x 768), TN",256GB SSD,$59999,
LG gram 15,https://laptopmedia.com/laptop-specs/lg-gram-15-276/,Intel Core i7-1260P,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$199900,
HP ENVY x360 15,https://laptopmedia.com/laptop-specs/hp-envy-x360-15-4358/,AMD Ryzen 5 5625U,16GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",512GB SSD,$76199,
ASUS ROG Strix SCAR 17,https://laptopmedia.com/laptop-specs/asus-rog-strix-scar-17-438/,AMD Ryzen 9 7945HX,64GB RAM,"NVIDIA GeForce RTX 4080 (Laptop, 175W)","17.3"", QHD (2560 x 1440), 240 Hz, IPS",4000GB SSD,$379500,
MSI Katana GF66,https://laptopmedia.com/laptop-specs/msi-katana-gf66-391/,Intel Core i7-12700H,16GB RAM,"NVIDIA GeForce RTX 3060 (Laptop, 105W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",4000GB SSD,$272999,
HP 15,https://laptopmedia.com/laptop-specs/hp-15-13847/,AMD Athlon Gold 3150U,12GB RAM,AMD Radeon RX Vega 3,"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,$47900,
MSI Sword 15,https://laptopmedia.com/laptop-specs/msi-sword-15-850/,Intel Core i7-12650H,64GB RAM,"NVIDIA GeForce RTX 3060 (Laptop, 105W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",2000GB SSD,$165999,
HP 17,https://laptopmedia.com/laptop-specs/hp-17-14949/,Intel Core i7-1255U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"17.3”, Full HD (1920 x 1080), IPS",512GB SSD,$110499,
Acer Nitro 5,https://laptopmedia.com/laptop-specs/acer-nitro-5-2720/,Intel Core i5-12500H,64GB RAM,NVIDIA GeForce RTX 3050 (Laptop),"17.3”, Full HD (1920 x 1080), 144 Hz, IPS",1000GB SSD,$166999,
Dell Inspiron 7620 2-in-1,https://laptopmedia.com/laptop-specs/dell-inspiron-7620-2-in-1-117/,Intel Core i7-1260P,64GB RAM,Intel Iris Xe Graphics G7 (96EU),"16.0”, WUXGA (1920 x 1200), IPS",4000GB SSD,$204900,
Lenovo IdeaPad 1 15,https://laptopmedia.com/laptop-specs/lenovo-ideapad-1-15-351/,Intel Pentium Silver N6000,20GB RAM,Intel UHD Graphics (Jasper Lake 32 EU),"15.6”, Full HD (1920 x 1080), TN",1000GB SSD,$39900,
Acer Nitro 5,https://laptopmedia.com/laptop-specs/acer-nitro-5-2687/,Intel Core i5-12500H,64GB RAM,NVIDIA GeForce RTX 3050 (Laptop),"17.3”, Full HD (1920 x 1080), 144 Hz, IPS",1000GB SSD,$166999,
Acer Nitro 5,https://laptopmedia.com/laptop-specs/acer-nitro-5-2676/,Intel Core i7-11800H,16GB RAM,"NVIDIA GeForce RTX 3050 Ti (Laptop, 75W)","17.3”, Full HD (1920 x 1080), 144 Hz, IPS",1000GB SSD,$139999,
Lenovo Yoga 9i 14,https://laptopmedia.com/laptop-specs/lenovo-yoga-9i-14-294/,Intel Core i7-1185G7,8GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0”, Full HD (1920 x 1080), IPS",,$215900,
Lenovo IdeaPad 3 17,https://laptopmedia.com/laptop-specs/lenovo-ideapad-3-17-1815/,AMD Ryzen 5 5625U,40GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","17.3”, Full HD (1920 x 1080), IPS",2000GB SSD,$99900,
Lenovo ThinkPad E14 Gen 4,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e14-gen-4-128/,Intel Core i7-1255U,40GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0”, Full HD (1920 x 1080), IPS",1000GB SSD,$133999,
HP Pavilion 15,https://laptopmedia.com/laptop-specs/hp-pavilion-15-6302/,Intel Core i7-1165G7,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,$149999,
HP 17,https://laptopmedia.com/laptop-specs/hp-17-14868/,Intel Core i7-1165G7,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"17.3”, HD+ (1600 x 900), TN",1000GB SSD,$185900,2000GB HDD
HP 17,https://laptopmedia.com/laptop-specs/hp-17-14859/,Intel Core i5-1235U,64GB RAM,Intel Iris Xe Graphics G7 (80EU),"17.3”, HD+ (1600 x 900), TN",2000GB SSD,$114900,
