price,brand,ram,ram_type,display_size,display_type,resolution,screen_rate,screen_panel,length,width,height,cpu_brand,gpu_brand,ssd,os,weight,cpu_point,gpu_point,features
2349.99,ACER,64.0,DDR5,15.6,FHD,1920 x 1080,165.0,IPS,359.4,276.4,25.9,INTEL,NVIDIA,4000.0,WINDOWS,2.5,15486.0,8864.0,FINGERPRINT READER
1379.0,LENOVO,40.0,DDR4,16.0,WUXGA,1920 x 1200,,IPS,361.98,255.5,20.5,INTEL,NVIDIA,1000.0,WINDOWS,1.8,9469.0,2282.0,FINGERPRINT READER
2489.0,MSI,16.0,DDR5,15.6,FHD,1920 x 1080,144.0,IPS,359.0,259.0,24.9,INTEL,NVIDIA,4000.0,WINDOWS,2.25,13001.0,12022.0,FINGERPRINT READER
2069.0,DELL,64.0,DDR4,14.0,FHD,1920 x 1080,,IPS,326.0,226.0,17.6,INTEL,INTEL,1000.0,WINDOWS,1.52,5002.0,1097.0,FINGERPRINT READER
998.0,DELL,64.0,DDR4,15.6,FHD,1920 x 1080,,IPS,361.0,240.9,18.0,INTEL,INTEL,512.0,WINDOWS,1.79,5002.0,1097.0,FINGERPRINT READER
1089.0,LENOVO,16.0,LPDDR4X,16.0,WUXGA,1920 x 1200,,IPS,357.8,253.9,18.7,AMD,AMD,1000.0,WINDOWS,2.1,8919.0,1129.0,FINGERPRINT READER
1729.0,LENOVO,32.0,LPDDR4X,14.0,WUXGA,1920 x 1200,,IPS,314.4,223.0,15.0,INTEL,INTEL,2000.0,WINDOWS,1.4,5524.0,1435.0,FINGERPRINT READER
1909.99,MSI,16.0,DDR5,15.6,FHD,1920 x 1080,144.0,IPS,359.0,259.0,24.9,INTEL,NVIDIA,1000.0,WINDOWS,2.25,13001.0,12022.0,FINGERPRINT READER
3525.0,ASUS,16.0,DDR5,16.0,WQXGA,2560 x 1600,165.0,IPS,355.0,243.0,19.9,INTEL,NVIDIA,2000.0,WINDOWS,1.9,16894.0,,FINGERPRINT READER
1199.0,HP,64.0,DDR4,14.0,FHD,1920 x 1080,,IPS,323.3,214.6,17.9,INTEL,INTEL,1000.0,WINDOWS,1.32,5125.0,1435.0,FINGERPRINT READER
439.0,HP,16.0,DDR4,14.0,HD,1366 x 768,,TN,324.0,225.0,17.9,AMD,AMD,1000.0,WINDOWS,1.46,940.0,451.0,FINGERPRINT READER
